epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99855,1.25955,1.60121,1.31739,0.63518,0.54018,0.61499,0.45405,1.08068,1.10511,1.12873,8.33e-06,8.33e-06,8.33e-06
2,5.25461,1.20637,1.46934,1.25565,0.65313,0.54905,0.62224,0.45802,1.07849,1.08121,1.12682,1.71431e-05,1.71431e-05,1.71431e-05
3,7.28577,1.16119,1.39374,1.22278,0.65763,0.56491,0.6365,0.46782,1.07196,1.06216,1.12314,2.52023e-05,2.52023e-05,2.52023e-05
4,9.42538,1.21413,1.41784,1.24767,0.67946,0.58424,0.65734,0.48518,1.0644,1.03765,1.11751,3.25075e-05,3.25075e-05,3.25075e-05
5,11.5202,1.16417,1.31109,1.21804,0.67781,0.61836,0.67434,0.50008,1.0522,1.01606,1.1112,3.90587e-05,3.90587e-05,3.90587e-05
6,13.5888,1.11686,1.24671,1.17816,0.72263,0.61493,0.68134,0.50635,1.04866,0.99315,1.10594,4.48559e-05,4.48559e-05,4.48559e-05
7,15.6242,1.16255,1.23634,1.21935,0.71459,0.63334,0.69228,0.51675,1.04308,0.97517,1.10296,4.98991e-05,4.98991e-05,4.98991e-05
8,17.6615,1.11203,1.20031,1.16983,0.7133,0.64242,0.70396,0.52411,1.03251,0.95131,1.09512,5.41883e-05,5.41883e-05,5.41883e-05
9,19.6976,1.15886,1.22907,1.20044,0.72873,0.64848,0.71112,0.53293,1.0144,0.92095,1.08377,5.77236e-05,5.77236e-05,5.77236e-05
10,21.6957,1.07345,1.14579,1.18165,0.73008,0.65271,0.72442,0.54204,1.00685,0.90215,1.07867,6.05048e-05,6.05048e-05,6.05048e-05
11,23.7063,1.08237,1.13665,1.18242,0.7528,0.6652,0.72359,0.54661,0.99625,0.87919,1.07226,6.25321e-05,6.25321e-05,6.25321e-05
12,25.6771,1.07541,1.09679,1.16953,0.74642,0.67209,0.73308,0.55371,0.99533,0.86193,1.07096,6.38054e-05,6.38054e-05,6.38054e-05
13,27.8299,1.05123,1.07562,1.14741,0.74516,0.67489,0.73894,0.56257,0.99038,0.84539,1.06618,6.24512e-05,6.24512e-05,6.24512e-05
14,29.8551,1.06313,1.09822,1.15082,0.79239,0.65713,0.76005,0.5747,0.98292,0.82994,1.06197,5.77388e-05,5.77388e-05,5.77388e-05
15,31.8532,1.07339,1.05354,1.13915,0.7521,0.68873,0.76654,0.58131,0.97589,0.82076,1.05973,5.30264e-05,5.30264e-05,5.30264e-05
16,55.8912,1.08516,1.11879,1.13183,0.76289,0.6918,0.76758,0.58312,0.96837,0.81486,1.0534,4.8314e-05,4.8314e-05,4.8314e-05
17,57.8808,1.12508,1.18573,1.15795,0.76149,0.67013,0.76439,0.58105,0.96879,0.81719,1.05191,4.36016e-05,4.36016e-05,4.36016e-05
18,59.8656,1.08427,1.06238,1.15375,0.74095,0.6904,0.76297,0.5834,0.96397,0.80993,1.05037,3.88892e-05,3.88892e-05,3.88892e-05
19,61.8468,1.06925,1.02771,1.13097,0.83348,0.63788,0.76578,0.58248,0.96291,0.80903,1.05072,3.41768e-05,3.41768e-05,3.41768e-05
20,63.8995,1.07599,1.0165,1.14349,0.85033,0.63069,0.76936,0.58774,0.95687,0.80453,1.04807,2.94644e-05,2.94644e-05,2.94644e-05
21,65.8823,1.01564,0.98774,1.11957,0.84284,0.62879,0.7739,0.59161,0.95526,0.80073,1.04722,2.4752e-05,2.4752e-05,2.4752e-05
22,67.837,1.01318,1.00018,1.11563,0.8497,0.63702,0.77562,0.59429,0.95013,0.79505,1.04461,2.00396e-05,2.00396e-05,2.00396e-05
23,69.7874,1.00323,0.93837,1.12043,0.83838,0.64664,0.77689,0.59571,0.94969,0.7917,1.04358,1.53272e-05,1.53272e-05,1.53272e-05
24,71.7849,1.01645,0.93606,1.11243,0.83866,0.65049,0.78052,0.59733,0.94963,0.78989,1.04308,1.06148e-05,1.06148e-05,1.06148e-05
25,73.8393,1.01537,0.94873,1.09894,0.84164,0.65022,0.78291,0.59909,0.94974,0.78849,1.04266,5.9024e-06,5.9024e-06,5.9024e-06
